c,F,V,E,H,SepGA,SepVNS,StatusQuo,IntGAMILP,IntVNSMILP,IntGANN,IntVNSNN,IntRBNN
low,high,high,medium,low,68.38735567678468,58.97168538112264,68.7555261571775,0.0,24.407345715178266,11.034811470554175,45.844321360302025,2.768095023278256
low,high,high,medium,high,39.254121640272466,35.88146461329733,44.56378226706185,0.0,11.540675084828997,6.416326448171654,38.860124525778794,20.90245378257678
low,high,high,high,low,109.25775174651608,96.02674177276016,105.6435308631809,4.858028256200706,35.16722368978956,6.033094916123193,69.1845141472323,0.0
low,high,high,high,high,58.16128907522794,54.72532466368328,64.98400444236289,0.6254423767549079,13.713029688885678,1.5988532882418645,39.86473765809922,0.0
medium,low,low,low,low,91.81198569556712,78.97214743121398,82.18852126865043,62.390110140709986,30.326669060170637,0.0,55.559689542402694,94.52701469189533
medium,low,low,low,high,60.51586773669966,42.99684125964631,50.301629908313686,26.65965057378022,10.513758665578205,0.0,37.083592589594126,59.21961549870643
medium,low,low,medium,low,127.9686310604272,108.81173437786411,104.9998389903175,109.04772506736143,30.207616152547928,0.0,63.68446119752971,68.62371321754574
medium,low,low,medium,high,91.88729754346322,68.58709704847516,71.17072505502281,34.362208627965416,17.032746369919636,0.0,58.56902387943901,67.74330566465288
medium,low,low,high,low,191.81323201939628,161.7843087581779,149.64527645322033,92.05872640574584,50.84011005566475,0.0,67.82186290764429,98.41515082135318
medium,low,low,high,high,143.69604085506052,108.39431752646705,108.81725374680902,35.89877878442033,26.848942637753797,0.0,51.13102157564122,71.08993327596687
medium,low,high,low,low,37.477737929136026,35.15771146710691,41.72579779892889,29.09613145178911,23.53051021618793,0.0,40.502124361145746,49.64337840882778
medium,low,high,low,high,24.607645991838645,15.350145501905557,23.110105359358187,0.0,8.208891559629715,2.59985030326611,16.020698310043894,33.421452786719456
medium,low,high,medium,low,60.3063193197475,53.30858171221378,56.11238081264791,29.960998791756655,20.78008518941867,0.0,44.07627436373537,49.39723370882535
medium,low,high,medium,high,54.16976093912329,39.53431949841477,45.26442902520022,0.0,11.854905536611543,6.091328729231393,40.63224238904854,52.19379618781941
medium,low,high,high,low,100.65737344791516,87.00963209268235,84.70672054654852,34.068187394641264,29.18426430914936,0.0,62.774391023177586,47.18684253052711
medium,low,high,high,high,86.09551778824927,64.1891532247261,65.72020948349846,0.0,18.11792932635143,2.122512465516911,58.29659674288372,57.938242963693234
medium,high,low,low,low,54.63808433704952,50.12932405199092,54.218379740462254,82.3079691206594,19.402859916063473,0.0,39.55868881981683,71.2471034790574
medium,high,low,low,high,41.42246856374698,29.034090233916753,37.59497436743487,23.067321907712465,18.399623824085413,0.0,26.96041547508546,67.97770274325833
medium,high,low,medium,low,93.08054506747152,82.17611705703429,82.72854132472894,72.08879508432935,31.67980795863493,0.0,48.809678400489396,73.57973918465181
medium,high,low,medium,high,74.10096101774737,53.80090278153887,59.208722689152495,65.00218529370234,24.367989846838856,0.0,33.26000368025999,56.792956008925486
medium,high,low,high,low,143.5695814270717,124.35873033991093,120.24311593411967,67.44535844182606,30.846751709261454,0.0,66.93900467582931,54.88862362335239
medium,high,low,high,high,95.40782846861585,69.16473529338762,69.91051205932514,32.855054656323745,8.719229810541878,0.0,39.483641035455506,45.08348194203881
medium,high,high,low,low,8.940982562595527,9.56197369228474,15.351370920869083,21.575510266886788,4.354343902928825,0.0,10.063888366633929,15.598811478158206
medium,high,high,low,high,23.449386015532095,16.82002412038309,24.445610987409637,21.18403527371119,21.652431124235434,0.0,23.650688810200222,30.16615742890128
medium,high,high,medium,low,37.18724698900394,34.46616822260167,39.0254207330012,34.354238615401165,18.17976612599148,0.0,26.21407175273826,30.48873136723006
medium,high,high,medium,high,37.79614721978385,26.17917955437486,32.474133395900175,44.24449054638825,16.752724901103967,0.0,27.47364323600395,43.228228029504244
medium,high,high,high,low,74.83932455584126,66.74476537600606,66.295809184011,42.41872994341914,19.50465006478639,0.0,42.7522517441568,27.6077505244335
medium,high,high,high,high,66.2239391856173,50.40924156297346,55.27897448040133,29.383865116287367,21.391908761074987,0.0,35.56119598896357,45.80531189005745
high,low,low,low,low,34.48623739301187,39.84523584953709,50.99591445653577,70.33081492966586,18.330251990525625,0.0,56.93166119935162,133.77120817754536
high,low,low,low,high,28.111680609940283,28.33510352203582,41.498287816634935,50.6926269034164,17.510448929693876,0.0,42.555915063740485,139.20786157212598
high,low,low,medium,low,41.50115832230573,47.30965411070186,53.19853762844912,102.64901081626725,15.479391182077862,0.0,44.27471219917402,106.3977209459803
high,low,low,medium,high,51.26058668904968,51.287377326466085,58.89362508413946,17.733071969527504,27.15702915278283,0.0,51.06274314843654,135.89138994061486
high,low,low,high,low,68.83350033454244,76.69506664511132,75.03179722554216,101.5367752489327,28.435776306418425,0.0,60.476318560327954,126.09069037015755
high,low,low,high,high,66.05363911919639,67.89948619119704,69.85183719779064,41.04979779132447,25.851364585673224,0.0,58.31460679475078,107.19451389882227
high,low,high,low,low,10.95251903739741,12.96651214596679,25.843436046685262,11.871865160326488,19.118395724784808,0.0,20.647566398985404,80.42782592447733
high,low,high,low,high,8.240032519148604,7.550873534784025,20.25458241735404,3.993191299049992,6.373787968533315,0.0,19.299181661429554,91.95870943208463
high,low,high,medium,low,23.24679997662512,26.293538289333895,34.934409897907805,25.688008812078827,12.782821304535345,0.0,24.289653987939626,74.96371329710152
high,low,high,medium,high,17.599637440697926,17.705350216378772,28.064357119594817,18.983326287126506,4.455542028018367,0.0,23.075875217800373,66.18724982452252
high,low,high,high,low,54.61135859685056,61.14456566122226,64.6373277610468,65.03440601309518,32.002326127630084,0.0,65.64853199305036,82.48011276474053
high,low,high,high,high,43.32371663044751,44.94519623289853,50.2229824746981,12.958237218404747,23.045152803401074,0.0,40.44758595478422,82.72854974671587
high,high,low,low,low,23.323265832669833,28.083881935676175,38.65327550869565,82.95545171667983,24.223665178082552,0.0,33.64515896103411,97.97805525088485
high,high,low,low,high,10.642445521906025,12.364926499985465,23.56427919685869,60.95726299274544,12.042643953540423,0.0,20.17133451017926,73.49621732503189
high,high,low,medium,low,37.08729264858009,43.33631634024249,49.02161284569193,128.66415655338014,31.09970471960457,0.0,39.35160017356398,96.46417300708454
high,high,low,medium,high,37.288765002144586,40.15605326419013,48.403054027046025,90.87860443448197,35.08545902168317,0.0,44.8265279402758,116.12122060504753
high,high,low,high,low,56.46607117105533,64.85145218664638,66.12173991503145,124.73847282763045,22.703181515882985,0.0,49.962152941908805,70.99722792083304
high,high,low,high,high,43.75757261629435,46.37269386401183,48.073727241169365,95.31053588194638,19.40946817982322,0.0,33.736028803526516,78.25310899512927
high,high,high,low,low,1.9598883782894463,2.8023317500107257,15.169829985708283,20.50669496447392,14.468964727019712,0.0,11.256961636001407,38.664863622405434
high,high,high,low,high,0.0,0.8432445948821502,13.981695979153313,4.0755188223964876,4.909323979137965,2.7044255983994936,7.648833697746436,65.23827247245313
high,high,high,medium,low,10.772030552621231,14.376152158152944,22.74222283929081,35.367719746133304,14.705421513500012,0.0,17.95590442227199,55.63953115554609
high,high,high,medium,high,16.030031259455534,17.71584651872637,25.346426307211377,39.73281433876779,15.963455095399762,0.0,21.223674995597523,80.88645405777783
high,high,high,high,low,33.00377665749145,37.68197992316886,41.236046163652375,90.75674592128911,15.866892913863396,0.0,34.272189521817815,55.730650114270176
high,high,high,high,high,30.411784564754598,32.945805534480385,40.2303920316912,35.56143882557736,21.361718871619786,0.0,25.246834291484326,61.43448125504874
